Name, Description, Complexity
":ref:`addressFromRecipient(Address|Alias): Address <03_ride-language/03_functions:addressFromRecipient(Address|Alias): Address>`", "Gets the corresponding :ref:`address <02_decentralchain/01_account:Address>` of the :ref:`alias <02_decentralchain/01_account:Alias>`", ":math:`5`"
":ref:`assetBalance(Address|Alias, ByteVector): Int <03_ride-language/03_functions:assetBalance(Address|Alias, ByteVector): Int>`", "Gets account balance by token ID", ":math:`10`"
":ref:`assetInfo(ByteVector): Asset|Unit <03_ride-language/03_functions:assetInfo(ByteVector): Asset|Unit>`", "Gets the information about a :ref:`token <02_decentralchain/02_token(asset):Token (Asset)>`", ":math:`15`"
":ref:`blockInfoByHeight(Int): BlockInfo|Unit <03_ride-language/03_functions:blockInfoByHeight(Int): BlockInfo|Unit>`", "Gets the information about a :ref:`block <02_decentralchain/04_block:Block>` by the block height", ":math:`5`"
":ref:`calculateAssetId(Issue): ByteVector <03_ride-language/03_functions:calculateAssetId(Issue): ByteVector>`", "Calculates ID of the token formed by the :ref:`Issue <03_ride-language/05_structures:Issue>` structure when executing the callable function", ":math:`10`"
":ref:`calculateLeaseId(Lease): ByteVector <03_ride-language/03_functions:calculateLeaseId(Lease): ByteVector>`", "Calculates ID of the lease formed by the :ref:`Lease <03_ride-language/05_structures:Lease>` structure when executing the callable function", ":math:`1`"
":ref:`scriptHash(Address|Alias): ByteVector|Unit <03_ride-language/03_functions:scriptHash(Address|Alias): ByteVector|Unit>`", "Returns BLAKE2b-256 hash of the script assigned to a given account", ":math:`200`"
":ref:`transactionHeightById(ByteVector): Int|Unit <03_ride-language/03_functions:transactionHeightById(ByteVector): Int|Unit>`", "Gets the block height of a transaction", ":math:`20`"
":ref:`transferTransactionById(ByteVector): TransferTransaction|Unit <03_ride-language/03_functions:transferTransactionById(ByteVector): TransferTransaction|Unit>`", "Gets the data of a :ref:`transfer transaction <02_decentralchain/03_transaction:Transfer Transaction>`", ":math:`60`"
":ref:`decentralchainBalance(Address|Alias): BalanceDetails <03_ride-language/03_functions:decentralchainBalance(Address|Alias): BalanceDetails>`", "Gets account balance in :ref:`DecentralCoins <02_decentralchain/02_token(asset):DecentralCoin>`", ":math:`10`"
