Name, Description, Complexity
":ref:`getBinary(List[], String): ByteVector|Unit <03_advanced:getBinary(List[], String): ByteVector|Unit>`", "Gets a binary value from a list of data entires by key", ":math:`10`"
":ref:`getBinary(List[], Int): ByteVector|Unit <03_advanced:getBinary(List[], Int): ByteVector|Unit>`", "Gets a binary value from a list of data entires by index", ":math:`4`"
":ref:`getBinaryValue(List[], String): ByteVector <03_advanced:getBinaryValue(List[], String): ByteVector>`", "Gets a binary value from a list of data entires by key. Fails if there is no data", ":math:`10`"
":ref:`getBinaryValue(List[], Int): ByteVector <03_advanced:getBinaryValue(List[], Int): ByteVector>`", "Gets a binary value from a list of data entires by index. Fails if there is no data", ":math:`4`"
":ref:`getBoolean(List[], String): Boolean|Unit <03_advanced:getBoolean(List[], String): Boolean|Unit>`", "Gets a boolean value from a list of data entires by key", ":math:`10`"
":ref:`getBoolean(List[], Int): Boolean|Unit <03_advanced:getBoolean(List[], Int): Boolean|Unit>`", "Gets a boolean value from a list of data entires by index", ":math:`4`"
":ref:`getBooleanValue(List[], String): Boolean <03_advanced:getBooleanValue(List[], String): Boolean>`", "Gets a boolean value from a list of data entires by key. Fails if there is no data", ":math:`10`"
":ref:`getBooleanValue(List[], Int): Boolean <03_advanced:getBooleanValue(List[], Int): Boolean>`", "Gets a boolean value from a list of data entires by index. Fails if there is no data", ":math:`4`"
":ref:`getInteger(List[], String): Int|Unit <03_advanced:getInteger(List[], String): Int|Unit>`", "Gets an integer value from a list of data entires by key", ":math:`10`"
":ref:`getInteger(List[], Int): Int|Unit <03_advanced:getInteger(List[], Int): Int|Unit>`", "Gets an integer value from a list of data entires by index", ":math:`4`"
":ref:`getIntegerValue(List[], String): Int <03_advanced:getIntegerValue(List[], String): Int>`", "Gets an integer value from a list of data entires by key. Fails if there is no data", ":math:`10`"
":ref:`getIntegerValue(List[], Int): Int <03_advanced:getIntegerValue(List[], Int): Int>`", "Gets an integer value from a list of data entires by index. Fails if there is no data", ":math:`4`"
":ref:`getString(List[], String): String|Unit <03_advanced:getString(List[], String): String|Unit>`", "Gets a string value from a list of data entires by key", ":math:`10`"
":ref:`getString(List[], Int): String|Unit <03_advanced:getString(List[], Int): String|Unit>`", "Gets a string value from a list of data entires by index", ":math:`4`"
":ref:`getStringValue(List[], String): String <03_advanced:getStringValue(List[], String): String>`", "Gets a string value from a list of data entires by key. Fails if there is no data", ":math:`10`"
":ref:`getStringValue(List[], Int): String <03_advanced:getStringValue(List[], Int): String>`", "Gets a string value from a list of data entires by index. Fails if there is no data", ":math:`4`"
